COD	EPS
CCFC07	CAJA DE COMPENSACIÓN FAMILIAR DE CARTAGENA Y BOLÍVARCOMFAMILIAR -CM
CCFC20	CAJA DE COMPENSACIÓN FAMILIAR DEL CHOCÓ -CM
CCFC23	CAJA DE COMPENSACIÓN FAMILIAR DE LA GUAJIRA "COMFAGUAJIRA" -CM
CCFC24	CAJA DE COMPENSACIÓN FAMILIAR DEL HUILA "COMFAMILIAR" -CM
CCFC27	CAJA DE COMPENSACIÓN FAMILIAR DE NARIÑO -CM
CCFC33	CAJA DE COMPENSACIÓN FAMILIAR DE SUCRE -CM
CCFC50	CAJA DE COMPENSACIÓN FAMILIAR DEL ORIENTE COLOMBIANO"COMFAORIENTE" -CM
CCFC53	CAJA DE COMPENSACIÓN FAMILIAR DE CUNDINAMARCA "COMFACUNDI" -CM
CCFC55	CAJA DE COMPENSACIÓN FAMILIAR CAJACOPI ATLÁNTICO -CM
EAS016	EMPRESAS PUBLICAS DE MEDELLIN - DEPARTAMENTO MEDICO
EAS027	FONDO PASIVO SOCIAL DE LOS FERROCARRILES NACIONALES
EPS001	ALIANSALUD EPS S.A.
EPS002	SALUD TOTAL ENTIDAD PROMOTORA DE SALUD DEL REGIMEN CONTRIBUTIVOY DEL REGIMEN SUBSIDIADO S.A.
EPS005	ENTIDAD PROMOTORA DE SALUD SANITAS S.A.S.
EPS008	CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR
EPS010	EPS SURAMERICANA S.A.
EPS012	CAJA DE COMPENSACION FAMILIAR DEL VALLE DEL CAUCA "COMFENALCOVALLE DE LA GENTE"
EPS016	COOMEVA ENTIDAD PROMOTORA DE SALUD S.A. "COOMEVA E.P.S. S.A."
EPS017	EPS FAMISANAR S.A.S.
EPS018	ENTIDAD PROMOTORA DE SALUD SERVICIO OCCIDENTAL DE SALUD S.A.S.O.S.
EPS037	NUEVA EPS S.A.
EPS040	ALIANZA MEDELLIN ANTIOQUIA EPS S.A.S. "SAVIA SALUD EPS" -CM
EPS041	NUEVA EPS S.A. -CM
EPS042	COOSALUD EPS S.A.
EPS044	MEDIMAS EPS S.A.S.
EPS045	MEDIMAS EPS S.A.S. -CM
EPS046	FUDACIÓN SALUD MIA
EPS048	ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD ENTIDAD PROMOTORA DE SALUD - MUTUAL SER EPS
EPSC22	ENTIDAD PROMOTORA DE SALUD DEL REGIMEN SUBSIDIADO EPS CONVIDA -CM
EPSC25	CAPRESOCA E.P.S. -CM
EPSC34	CAPITAL SALUD ENTIDAD PROMOTORA DE SALUD DEL RÉGIMEN SUBSIDIADO SAS "CAPITAL SALUD EPS-S S.A.S." -CM
EPSIC1	ASOCIACIÓN DE CABILDOS INDÍGENAS DEL CESAR Y GUAJIRA "DUSAKAWI A.R.S.I." -CM
EPSIC3	ASOCIACIÓN INDÍGENA DEL CAUCA A.I.C. EPSI -CM
EPSIC4	EMPRESA PROMOTORA DE SALUD INDÍGENA ANAS WAYUU EPSI -CM
EPSIC5	ENTIDAD PROMOTORA DE SALUD MALLAMAS EPSI -CM
EPSIC6	PIJAOS SALUD EPSI -CM
ESSC07	ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD ENTIDAD PROMOTORA DE SALUD - MUTUAL SER EPS -CM
ESSC18	EMSSANAR S.A.S. -CM
ESSC24	COOSALUD EPS S.A. -CM
ESSC33	COOPERATIVA DE SALUD COMUNITARIA EMPRESA PROMOTORA SUBSIDIADA "COMPARTA EPS-S" -CM
ESSC62	ASMET SALUD EPS S.A.S. -CM
ESSC76	ASOCIACIÓN MUTUAL BARRIOS UNIDOS DE QUIBDO AMBUQ EPS - S - ESS - CM
ESSC91	ECOOPSOS EPS SAS -CM
CCF007	CAJA DE COMPENSACIÓN FAMILIAR DE CARTAGENA Y BOLÍVAR COMFAMILIAR
